Temperature,Pressure,Density,Speed,Conductivity,Enthalpy,Entropy,Viscosity,InternalE,Cp,Cv,CpMCv,
161,50000,0.07527431100163096,1013.641785386224,0.0988986134413103,2663481.3577854335,47181.151158884226,5.796335041260941e-06,1999244.1255254596,11685.88932755232,7557.120427208612,4128.768900343708,
162,50000,0.07480955931380974,1016.1557783782393,0.09955694951162823,2675180.457110377,47253.59154939748,5.821658939552796e-06,2006816.6750132155,11712.315883454252,7583.61059181832,4128.705291635932,
163,50000,0.07435051474400978,1018.6594059648068,0.10021706142306305,2686906.0013633315,47325.74888900647,5.8469271950625055e-06,2014415.7008973453,11738.777876365468,7610.134945693637,4128.642930671831,
164,50000,0.07389707274209635,1021.1529633054092,0.1008788596857825,2698658.022080087,47397.626833045855,5.872140345015877e-06,2022041.234098487,11765.267524370118,7636.685739165507,4128.581785204611,
165,50000,0.07344913129784858,1023.636738437795,0.10154225465000333,2710436.543076648,47469.22892325703,5.89729891826373e-06,2029693.2978333316,11791.777170373427,7663.255346346302,4128.521824027125,
166,50000,0.073006590864241,1026.111012302137,0.10220715665532365,2722241.5805757064,47540.55859129787,5.922403435457995e-06,2037371.9077405904,11818.299285362711,7689.836268430935,4128.463016931776,
167,50000,0.07256935428349119,1028.5760587754169,0.10287347617352302,2734073.1433362323,47611.61916216575,5.947454409223167e-06,2045077.072010097,11844.826471389288,7716.421136717103,4128.405334672185,
168,50000,0.0721373267157578,1031.0321447153292,0.10354112394469267,2745931.2327859257,47682.41385753539,5.972452344323287e-06,2052808.791514785,11871.351464279875,7743.0027153532665,4128.348748926608,
169,50000,0.07171041557037867,1033.47953001302,0.10421001110660587,2757815.8431562255,47752.94579901295,5.997397737824554e-06,2060567.0599452506,11897.867136085877,7769.573903822962,4128.293232262915,
170,50000,0.07128853043954395,1035.9184676539967,0.10488004931726434,2769726.961619666,47823.218011307996,6.022291079253752e-06,2068351.8639466644,11924.366497279494,7796.127739174318,4128.238758105176,
171,50000,0.07087158303430435,1038.3492037865635,0.10555115087060044,2781664.5684292843,47893.233425324244,6.047132850752568e-06,2076163.1832577672,11950.842698704999,7822.657398003356,4128.1853007016425,
172,50000,0.07045948712281896,1040.7719777971565,0.10622322880533956,2793628.6370598697,47962.9948811713,6.071923527227981e-06,2084000.990851713,11977.289033293937,7849.156198199807,4128.13283509413,
173,50000,0.07005215847075147,1043.187022391984,0.10689619700706157,2805619.134350819,48032.50513109805,6.096663576498788e-06,2091865.253078536,12003.698937552905,7875.617600464126,4128.081337088779,
174,50000,0.06964951478372838,1045.5945636843894,0.10756997030352594,2817636.0206503607,48101.766842349636,6.121353459438449e-06,2099755.929808996,12030.065992832251,7902.035209604255,4128.030783227996,
175,50000,0.06925147565177628,1047.9948212873867,0.10824446455334548,2829679.249960944,48170.782599949256,6.145993630114291e-06,2107672.9745796127,12056.383926384267,7928.402775620651,4127.981150763617,
176,50000,0.06885796249565901,1050.3880084108391,0.10891959672812494,2841748.770085586,48239.55490940588,6.1705845359232475e-06,2115616.334738663,12082.646612219263,7954.714194588045,4127.932417631218,
177,50000,0.06846889851503948,1052.7743319627757,0.10959528498819074,2853844.5227749767,48308.08619935001,6.195126617724194e-06,2123585.9515929497,12108.848071767734,7980.963509342227,4127.884562425507,
178,50000,0.06808420863839414,1055.1539926543662,0.1102714487520642,2865966.4438751545,48376.378824097956,6.219620309966988e-06,2131581.760555154,12134.98247435677,8007.144909980045,4127.837564376725,
